Game_ID,Season_ID,shot_id,Team_ID,Player_ID,Position_Group,Position,Game_Date,Home_Team,Away_Team,Event_Type,Shot_Made,Action_Type,Shot_Type,Basic_Zone,Zone_Name,Zone_Abb,Zone_Range,Loc_X,Loc_Y,Shot_Distance,Quarter,Mins_Left,Secs_Left
20801225,63,1,51,3803,G,SG,2009-04-15,NYK,NJN,"Missed Shot",0,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center,C,"8-16 ft.",4.00,14.85,10.00,2,3,57
20801222,63,2,38,3779,G,PG,2009-04-15,MEM,ATL,"Made Shot",1,"Driving Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,1,9
20801229,63,3,64,3817,G,PG,2009-04-15,PHX,GSW,"Made Shot",1,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center",RC,"24+ ft.",-20.90,19.05,25.00,2,6,19
20801230,63,4,68,3658,G,SG,2009-04-15,POR,DEN,"Made Shot",1,"Reverse Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",-0.70,6.95,1.00,2,2,37
20801218,63,5,87,3436,C,C,2009-04-15,CHI,TOR,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,4,10
20801223,63,6,24,3737,G,SG,2009-04-15,MIA,DET,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center",RC,"16-24 ft.",-12.20,18.75,18.00,2,2,25
20801229,63,7,26,3844,F,PF,2009-04-15,PHX,GSW,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center",RC,"16-24 ft.",-11.10,20.85,19.00,2,5,59
20801218,63,8,12,3812,G,PG,2009-04-15,CHI,TOR,"Missed Shot",0,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center,C,"8-16 ft.",-4.50,13.45,9.00,2,3,52
20801228,63,9,35,3383,F,SF,2009-04-15,LAC,OKC,"Made Shot",1,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,2,15
20801222,63,10,38,3713,F,SF,2009-04-15,MEM,ATL,"Made Shot",1,"Dunk Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,0,42
20801225,63,11,57,3628,G,PG,2009-04-15,NYK,NJN,"Made Shot",1,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"8-16 ft.",12.50,13.45,14.00,2,3,40
20801221,63,12,44,3335,F,PF,2009-04-15,IND,MIL,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,Center,C,"16-24 ft.",1.00,24.75,19.00,2,4,18
20801227,63,13,53,3442,F,PF,2009-04-15,SAS,NOH,"Made Shot",1,"Step Back Jump shot","2PT Field Goal",Mid-Range,"Left Side",L,"8-16 ft.",14.60,6.15,14.00,2,1,51
20801229,63,14,64,3688,F,PF,2009-04-15,PHX,GSW,"Missed Shot",0,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center,C,"Less Than 8 ft.",4.80,9.75,6.00,2,5,50
20801226,63,15,61,3094,F,PF,2009-04-15,ORL,CHA,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"8-16 ft.",8.40,8.35,8.00,2,3,17
20801220,63,16,28,3428,C,C,2009-04-15,DAL,HOU,"Made Shot",1,"Turnaround Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"8-16 ft.",10.50,7.85,10.00,2,0,34
20801223,63,17,43,3519,F,SF,2009-04-15,MIA,DET,"Made Shot",1,"Slam Dunk Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,2,7
20801229,63,18,64,3688,F,PF,2009-04-15,PHX,GSW,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,5,48
20801225,63,19,51,3301,F,SF,2009-04-15,NYK,NJN,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,3,1
20801220,63,20,20,3194,G,SG,2009-04-15,DAL,HOU,"Missed Shot",0,"Driving Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,0,23
20801222,63,21,38,3809,F,PF,2009-04-15,MEM,ATL,"Made Shot",1,"Dunk Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.00,5.25,0.00,2,0,9
20801228,63,22,60,3770,F,SF,2009-04-15,LAC,OKC,"Made Shot",1,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center",RC,"24+ ft.",-13.80,27.15,25.00,2,1,49
20801226,63,23,61,3094,F,PF,2009-04-15,ORL,CHA,"Made Shot",1,"Fadeaway Bank shot","2PT Field Goal","In The Paint (Non-RA)",Center,C,"Less Than 8 ft.",4.90,6.95,5.00,2,3,14
20801218,63,24,87,3436,C,C,2009-04-15,CHI,TOR,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,Center,C,"16-24 ft.",1.60,22.85,17.00,2,3,15
20801222,63,25,28,3350,G,PG,2009-04-15,MEM,ATL,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side Center",LC,"16-24 ft.",11.10,17.95,16.00,2,0,1
20801219,63,26,17,3665,G,PG,2009-04-15,CLE,PHI,"Made Shot",1,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center",LC,"24+ ft.",22.40,15.95,24.00,2,0,7
20801229,63,27,26,3797,F,PF,2009-04-15,PHX,GSW,"Missed Shot",0,"Jump Shot","2PT Field Goal",Mid-Range,"Left Side",L,"16-24 ft.",20.70,5.55,20.00,2,5,38
20801228,63,28,35,3815,G,SG,2009-04-15,LAC,OKC,"Made Shot",1,"Jump Shot","2PT Field Goal",Mid-Range,Center,C,"16-24 ft.",-4.20,27.25,22.00,2,1,31
20801223,63,29,43,3449,F,SF,2009-04-15,MIA,DET,"Missed Shot",0,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side",R,"24+ ft.",-24.10,5.95,24.00,2,1,36
20801221,63,30,44,3833,F,PF,2009-04-15,IND,MIL,"Missed Shot",0,"Layup Shot","2PT Field Goal","Restricted Area",Center,C,"Less Than 8 ft.",0.20,5.35,0.00,2,3,57
