Game_ID,Season_ID,Team_ID,Player_ID,Position_Group,Position,Game_Date,Home_Team,Away_Team,Event_Type,Shot_Made,Action_Type,Shot_Type,Basic_Zone,Zone_Name,Zone_Abb,Zone_Range,Loc_X,Loc_Y,Shot_Distance,Quarter,Mins_Left,Secs_Left
20801221,2000,44,3335,F,PF,2009-04-15,IND,MIL,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.0,24.75,19.0,2,4,18
20801227,2000,53,3442,F,PF,2009-04-15,SAS,NOH,Made Shot,1,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.6,6.15,14.0,2,1,51
20801229,2000,64,3688,F,PF,2009-04-15,PHX,GSW,Missed Shot,0,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.8,9.75,6.0,2,5,50
20801226,2000,61,3094,F,PF,2009-04-15,ORL,CHA,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.4,8.35,8.0,2,3,17
20801220,2000,28,3428,C,C,2009-04-15,DAL,HOU,Made Shot,1,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.5,7.85,10.0,2,0,34
20801223,2000,43,3519,F,SF,2009-04-15,MIA,DET,Made Shot,1,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,2,7
20801229,2000,64,3688,F,PF,2009-04-15,PHX,GSW,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,5,48
20801225,2000,51,3301,F,SF,2009-04-15,NYK,NJN,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,3,1
20801220,2000,20,3194,G,SG,2009-04-15,DAL,HOU,Missed Shot,0,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,23
20801222,2000,38,3809,F,PF,2009-04-15,MEM,ATL,Made Shot,1,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,0,9
20801228,2000,60,3770,F,SF,2009-04-15,LAC,OKC,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.8,27.15,25.0,2,1,49
20801226,2000,61,3094,F,PF,2009-04-15,ORL,CHA,Made Shot,1,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.9,6.95,5.0,2,3,14
20801218,2000,87,3436,C,C,2009-04-15,CHI,TOR,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.6,22.85,17.0,2,3,15
20801222,2000,28,3350,G,PG,2009-04-15,MEM,ATL,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.1,17.95,16.0,2,0,1
20801219,2000,17,3665,G,PG,2009-04-15,CLE,PHI,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,15.95,24.0,2,0,7
20801229,2000,26,3797,F,PF,2009-04-15,PHX,GSW,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.7,5.55,20.0,2,5,38
20801228,2000,35,3815,G,SG,2009-04-15,LAC,OKC,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.2,27.25,22.0,2,1,31
20801223,2000,43,3449,F,SF,2009-04-15,MIA,DET,Missed Shot,0,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.1,5.95,24.0,2,1,36
20801221,2000,44,3833,F,PF,2009-04-15,IND,MIL,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.35,0.0,2,3,57
20801225,2000,51,3794,F,PF,2009-04-15,NYK,NJN,Missed Shot,0,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0,5.25,0.0,2,2,58
20801220,2000,20,3194,G,SG,2009-04-15,DAL,HOU,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,7.15,16.0,2,0,20
